Name,school_id,year,ELL,disabilities,low_income,,,,,,,,,,,
Amigos School,490006,2012,3.9,13.5,29.6,,,,,,,,,,,
Cambridge Rindge and Latin,490506,2012,4.6,15.5,49.9,,,,,,,,,,,
Cambridgeport,490007,2012,2.7,14.4,44.9,,,,,,,,,,,
Fletcher/Maynard Academy,490090,2012,3,28,70.8,,,,,,,,,,,
Graham and Parks,490080,2012,6.1,16.6,38.1,,,,,,,,,,,
Haggerty,490020,2012,5.9,21,37.6,,,,,,,,,,,
John M Tobin,490065,2012,21.5,19.1,52.9,,,,,,,,,,,
Kennedy-Longfellow,490040,2012,4.9,15.3,62.3,,,,,,,,,,,
King Open,490035,2012,2.3,25.2,44.5,,,,,,,,,,,
Maria L. Baldwin,490005,2012,1.1,16.8,36.3,,,,,,,,,,,
Martin Luther King Jr.,490030,2012,6.1,18.4,56.1,,,,,,,,,,,
Morse,490045,2012,2,21.9,56.4,,,,,,,,,,,
Peabody,490050,2012,1,23.2,46.7,,,,,,,,,,,
Amigos School,490006,2013,5,13.6,22.5,,,,,,,,,,,
Cambridge Rindge and Latin,490506,2013,5.2,13.9,44.2,,,,,,,,,,,
Cambridge Street Upper School,490305,2013,2.4,28,50.8,,,,,,,,,,,
Cambridgeport,490007,2013,3.9,13.2,35.7,,,,,,,,,,,
Fletcher/Maynard Academy,490090,2013,3.6,25.6,68.2,,,,,,,,,,,
Graham and Parks,490080,2013,31.4,13.9,39.4,,,,,,,,,,,
Haggerty,490020,2013,5.6,21.4,37.3,,,,,,,,,,,
John M Tobin,490065,2013,0,16.4,40.5,,,,,,,,,,,
Kennedy-Longfellow,490040,2013,5.1,13.2,65.1,,,,,,,,,,,
King Open,490035,2013,3.8,23.5,48.7,,,,,,,,,,,
Maria L. Baldwin,490005,2013,1.6,22.4,33.2,,,,,,,,,,,
Martin Luther King Jr.,490030,2013,5.6,9.6,47.6,,,,,,,,,,,
Morse,490045,2013,0.7,28.1,55.2,,,,,,,,,,,
Peabody,490050,2013,3.3,19.9,45.9,,,,,,,,,,,
Putnam Avenue Upper School,490310,2013,0.4,24.9,59.3,,,,,,,,,,,
Rindge Avenue Upper School,490315,2013,0,21.4,42.1,,,,,,,,,,,
Vassal Lane Upper School,490320,2013,14.7,27.3,44,,,,,,,,,,,